City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
213,petatlan,17.5167,-101.2667,30.89,40,4,3.58,MX,1681254203
214,cherskiy,68.75,161.3,-19.38,90,88,1.72,RU,1681254440
215,iberia,29.9502,-91.7507,23.32,77,100,3.6,US,1681254440
216,port blair,11.6667,92.75,26.88,77,99,2.71,IN,1681254440
217,yellowknife,62.456,-114.3525,-2.33,89,100,4.91,CA,1681254441
218,mocuba,-16.8392,36.9856,21.08,98,14,0.81,MZ,1681254441
219,canutama,-6.5339,-64.3831,24.63,92,95,0.83,BR,1681254215
220,thompson,55.7435,-97.8558,2.63,100,100,0.39,CA,1681254441
221,businga,3.3333,20.8833,21.63,97,100,0.63,CD,1681254442
222,hay river,60.8156,-115.7999,-2.02,80,100,2.06,CA,1681254442
223,nuuk,64.1835,-51.7216,-0.66,86,100,7.72,GL,1681254298
224,bethel,41.3712,-73.414,22.05,19,0,3.6,US,1681253979
225,aksha,50.2814,113.2867,-4.54,62,31,0.92,RU,1681254442
226,vardo,70.3705,31.1107,0.99,69,100,8.23,NO,1681254443
227,esil,51.9556,66.4042,1.53,62,6,3.73,KZ,1681254443
228,asau,46.4333,26.4,6.51,96,100,2.31,RO,1681254443
229,ozu,33.5,132.55,17.68,84,97,2.52,JP,1681254009
230,ponta delgada,37.7333,-25.6667,16.4,94,40,1.54,PT,1681253967
231,magadan,59.5667,150.8,-8.29,65,0,3.67,RU,1681254443
232,muros,42.7762,-9.0603,15.61,78,54,6.82,ES,1681254444
233,aswan,24.0934,32.907,22.21,21,60,5.21,EG,1681254444
234,kuryk,43.2,51.65,17.11,41,100,14.02,KZ,1681254444
235,belyy yar,53.6039,91.3903,-3.06,74,40,3.0,RU,1681254444
236,upington,-28.4478,21.2561,13.06,25,56,2.23,ZA,1681254445
237,eskisehir,39.7767,30.5206,4.95,81,75,2.06,TR,1681254242
238,victor harbor,-35.5667,138.6167,15.38,74,1,9.37,AU,1681254445
239,ust-nera,64.5667,143.2,-14.69,88,99,1.56,RU,1681254184
240,vila velha,-20.3297,-40.2925,24.97,89,75,3.09,BR,1681254245
241,sibolga,1.7427,98.7792,24.32,91,99,1.58,ID,1681254445
242,manta,-0.95,-80.7333,29.88,74,20,2.06,EC,1681253998
243,kimbe,-5.5502,150.1429,27.97,79,97,0.52,PG,1681254446
244,nhulunbuy,-12.2333,136.7667,26.34,89,40,0.0,AU,1681254176
245,tasiilaq,65.6145,-37.6368,2.09,96,100,0.61,GL,1681254446
246,mehamn,71.0357,27.8492,0.97,75,100,5.66,NO,1681254446
